Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensityB,SourceIntensityV,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
2848,251.736504,-1.896815,251.736477,-1.896824,1436,1038,1436.486,1037.841,1,169.413,752.261,1,33.5031,D.N.,-7.1909,0.0484,2,B,9.134727,9.137071,9.669039,8.611775,10.338267,0,3.662779,1.939304,5,5,5,0,8,15,79.04,0,506,3.08,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2849,251.810149,-1.896759,251.8101,-1.896789,108,1039,108.881,1038.475,1,312.687,1390.72,1,113.086,D.N.,-7.8581,0.0883,2,B,11.39625,9.999913,19.742669,9.700624,27.91721,0,19.758115,10.741475,5,5,5,0,8,15,79.04,0,497,3.36,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2850,251.752032,-1.896871,251.752023,-1.896847,1156,1037,1156.15,1037.43,1,98.5376,470.177,1,26.1202,D.N.,-6.6807,0.0603,2,B,9.070863,9.473888,9.116356,8.98114,9.24261,0,1.523947,1.469851,5,5,5,0,8,15,79.04,0,513,3.45,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2851,251.792792,-1.896649,251.792736,-1.896649,421,1041,422,1040.993,1,918.305,3543.69,1,61.8982,D.N.,-8.8736,0.019,2,B,9.942065,9.929493,9.946786,9.75286,10.095389,0,1.72746,1.712225,5,5,5,0,8,15,79.04,0,514,3.7,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2852,251.764787,-1.896705,251.764966,-1.896202,926,1040,922.77,1049.073,1,1206.76,4298.17,1,67.9266,D.N.,-9.0832,0.0172,2,B,9.302403,9.30806,9.456068,8.915562,9.709709,0,2.207005,1.790934,5,5,5,0,8,15,79.04,0,505,3.5,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2853,251.779871,-1.896483,251.779896,-1.896489,654,1044,653.535,1043.884,1,248.562,1067.63,1,36.7933,D.N.,-7.5711,0.0374,2,B,9.230321,9.049722,9.244612,9.034103,9.402661,0,1.718415,1.706866,5,5,5,0,8,15,79.04,0,512,3.38,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2854,251.768391,-1.896538,251.768398,-1.896532,861,1043,860.881,1043.108,1,112.416,539.451,1,30.2846,D.N.,-6.8299,0.061,2,B,9.379434,8.932819,9.914727,8.702429,10.346314,0,2.960025,1.958484,5,5,5,0,8,15,79.04,0,505,3.41,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2855,251.72935,-1.896372,251.729339,-1.896354,1565,1046,1565.208,1046.319,1,1831.86,6323.73,1,81.1043,D.N.,-9.5024,0.0139,2,B,8.791182,8.190653,8.892467,8.162189,9.038903,0,1.622006,1.609729,5,5,5,0,8,15,79.04,0,515,3.31,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2856,251.769112,-1.896483,251.769113,-1.896477,848,1044,847.978,1044.107,1,194.452,810.001,1,34.7738,D.N.,-7.2712,0.0466,2,B,9.466489,9.129108,10.027959,8.694642,10.478751,0,3.04347,2.012293,5,5,5,0,8,15,79.04,0,502,3.65,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2857,251.812035,-1.896427,251.812412,-1.896278,74,1045,67.196,1047.68,1,1008.7,3541.71,1,62.3861,D.N.,-8.873,0.0191,2,B,10.025006,10.537865,10.418104,9.625628,10.774796,0,2.752145,1.88651,5,5,5,0,8,15,79.04,0,506,3.64,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2858,251.762679,-1.896372,251.762642,-1.896385,964,1046,964.671,1045.771,1,83.4908,435.599,1,25.6944,D.N.,-6.5977,0.064,2,B,9.123051,9.308161,9.063978,9.039921,9.192255,0,1.531815,1.511716,5,5,5,0,8,15,79.04,0,510,3.65,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2859,251.812423,-1.896316,251.812419,-1.896279,67,1047,67.07,1047.664,1,1005.57,3535.56,1,62.3368,D.N.,-8.8711,0.0191,2,B,10.025006,10.537865,10.418104,9.632011,10.774796,0,2.752145,1.88651,5,5,5,0,8,15,79.04,0,506,3.36,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2860,251.757855,-1.896317,251.757858,-1.896304,1051,1047,1050.931,1047.232,1,123.636,491.058,1,28.7994,D.N.,-6.7278,0.0637,2,B,9.205303,9.237347,9.728802,8.962873,10.401971,0,3.684888,1.85291,5,5,5,0,8,15,79.04,0,503,13.91,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2861,251.755636,-1.896261,251.755599,-1.89622,1091,1048,1091.679,1048.741,1,694.095,2517.2,1,52.5568,D.N.,-8.5023,0.0227,2,B,8.884926,9.484121,8.862621,9.242515,8.998683,0,1.560444,1.579525,5,5,5,0,8,15,79.04,0,512,3.49,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2862,251.736005,-1.896317,251.766554,-1.896304,894,1047,894.131,1047.23,1,48.46,461.114,1,26.028,D.N.,-6.6595,0.0613,2,B,8.76587,8.722871,8.95524,8.736146,9.094661,0,1.587916,1.483661,5,5,5,0,8,15,79.04,0,510,1.15,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2863,251.765008,-1.896206,251.764972,-1.896202,922,1049,922.662,1049.073,1,1206.39,4296.8,1,67.9164,D.N.,-9.0829,0.0172,2,B,9.302403,9.30806,9.456068,8.846452,9.709709,0,2.207005,1.790934,5,5,5,0,8,15,79.04,0,505,3.53,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2864,251.738445,-1.896317,251.738437,-1.896286,1401,1047,1401.139,1047.544,1,54.7759,327.265,1,22.2434,D.N.,-6.2872,0.0738,2,B,8.728199,9.523784,8.640259,8.426947,8.751167,0,1.390182,1.305995,5,5,5,0,8,15,79.04,0,512,3.2,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2865,251.736005,-1.896095,251.736047,-1.896106,1445,1051,1444.245,1050.799,1,707.428,2483.91,1,52.4939,D.N.,-8.4878,0.0229,2,B,9.121201,8.975265,9.246457,8.630568,9.482899,0,2.106454,1.662046,5,5,5,0,8,15,79.04,0,508,3.66,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2866,251.789797,-1.895984,251.789766,-1.895962,475,1053,475.563,1053.396,1,2441.93,8872.11,1,96.9886,D.N.,-9.8701,0.0119,2,B,11.07874,10.251104,12.302252,10.051193,13.409772,0,5.341666,2.328828,5,5,5,0,8,15,79.04,0,502,3.26,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2867,251.789409,-1.895651,251.789761,-1.895962,482,1059,475.648,1053.401,1,2441.93,8872.8,1,96.9922,D.N.,-9.8702,0.0119,2,B,11.07874,10.251104,12.302252,10.121412,13.409772,0,5.341666,2.328828,5,5,5,0,8,15,79.04,0,502,3.97,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2868,251.784862,-1.896039,251.784842,-1.896016,564,1052,564.353,1052.432,1,1012.09,3573.71,1,68.8257,D.N.,-8.8828,0.0209,2,B,10.492754,9.143685,13.707194,9.44841,17.739227,0,11.271428,3.436353,5,5,5,0,8,15,79.04,0,504,3.24,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2869,251.744212,-1.895596,251.744194,-1.895594,1297,1060,1297.337,1060.033,1,21866.8,106812,1,332.134,D.N.,-12.5716,0.0034,2,B,15.063413,13.486198,17.340612,9.008234,18.562836,0,6.630908,5.963323,5,5,5,0,8,15,79.04,0,506,3.23,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2870,251.814142,-1.895817,251.814152,-1.895802,36,1056,35.821,1056.281,1,707.492,2509.7,1,53.1451,D.N.,-8.4991,0.023,2,B,9.821599,9.326486,10.11539,9.366871,10.379103,0,2.327117,1.786629,5,5,5,0,8,15,79.04,0,502,3.39,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2871,251.716984,-1.895928,251.716989,-1.895947,1788,1054,1787.909,1053.664,1,123.297,754.099,1,30.975,D.N.,-7.1936,0.0446,2,B,8.46485,8.254053,8.487189,8.245536,8.60341,0,1.410729,1.446858,5,5,5,0,8,15,79.04,0,515,3.29,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2872,251.775767,-1.895873,251.775743,-1.895846,728,1055,728.423,1055.496,1,704.233,2459.25,1,51.7766,D.N.,-8.477,0.0229,2,B,9.015917,8.405538,9.084674,8.885975,9.215295,0,1.547583,1.502887,5,5,5,0,8,15,79.04,0,515,3.49,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2873,251.813421,-1.895873,251.81344,-1.895848,49,1055,48.662,1055.443,1,118.3,596.707,1,34.4901,D.N.,-6.9394,0.0628,2,B,10.186278,10.167333,11.550077,9.515125,13.004018,0,5.980925,2.452248,5,5,5,0,8,15,79.04,0,502,3.29,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2874,251.804604,-1.895873,251.804577,-1.895864,208,1055,208.474,1055.153,1,182.512,860.356,1,47.0942,D.N.,-7.3367,0.0594,2,B,10.674459,10.982647,14.090684,9.909425,18.462587,0,11.941659,3.71145,5,5,5,0,8,15,79.04,0,503,2.96,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2875,251.786636,-1.895818,251.786355,-1.895558,532,1056,537.062,1060.686,1,2750.37,11759.8,1,110.327,D.N.,-10.176,0.0102,2,B,11.080544,10.877226,11.35394,9.933599,11.580592,0,2.282201,2.046697,5,5,5,0,8,15,79.04,0,506,3.26,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2876,251.786359,-1.895596,251.786356,-1.895557,537,1060,537.051,1060.696,1,2750.37,11760.1,1,110.329,D.N.,-10.176,0.0102,2,B,11.080544,10.877226,11.35394,9.894897,11.580592,0,2.282201,2.046697,5,5,5,0,8,15,79.04,0,506,3.49,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
2877,251.76767,-1.895873,251.767748,-1.895801,874,1055,872.603,1056.307,1,93.8015,505.759,1,27.5554,D.N.,-6.7599,0.0592,2,B,8.756848,8.344264,8.900994,8.743217,9.054587,0,1.662298,1.607067,5,5,5,0,8,15,79.04,0,513,13.05,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_V.fits
