Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
1583,251.798835,-1.924138,251.798829,-1.924107,312,545,312.109,545.56,1,23776.7,1,160.515,D.N.,-10.9404,0.0073,2,B,12.825337,11.124751,13.954322,7.621547,14.778662,0,4.871625,4.493377,5,5,5,0,8,15,79.04,0,505,3.94,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1584,251.796284,-1.924249,251.796244,-1.924186,358,543,358.724,544.143,1,2736.04,1,55.6067,D.N.,-8.5928,0.0221,2,B,7.882493,7.529326,8.318158,7.123976,8.622449,0,2.272693,1.90117,5,5,5,0,8,15,79.04,0,504,4.36,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1585,251.785914,-1.924305,251.785906,-1.9242,545,542,545.152,543.895,1,649.803,1,58.3098,D.N.,-7.032,0.0974,2,B,9.777426,9.44511,11.849231,7.221815,13.339652,0,6.133243,5.283752,5,5,5,0,8,15,79.04,0,504,4.34,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1586,251.785914,-1.923972,251.785905,-1.9242,545,548,545.169,543.9,1,650.64,1,58.317,D.N.,-7.0334,0.0973,2,B,9.777426,9.44511,11.849231,7.202129,13.339652,0,6.133243,5.283752,5,5,5,0,8,15,79.04,0,504,3.62,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1587,251.770609,-1.924194,251.7706,-1.92414,821,544,821.159,544.986,1,3098.78,1,58.5833,D.N.,-8.728,0.0205,2,B,6.822013,6.989534,7.342831,6.195506,7.918935,0,2.968156,1.838108,5,5,5,0,8,15,79.04,0,501,4.33,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1588,251.769944,-1.924194,251.769918,-1.92417,833,544,833.452,544.438,1,857.012,1,37.3416,D.N.,-7.3325,0.0473,2,B,6.614609,5.931654,9.066419,6.133997,12.874168,0,9.149408,2.333768,5,5,5,0,8,15,79.04,0,500,1.04,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1589,251.762291,-1.924194,251.76222,-1.92418,971,544,972.275,544.258,1,1735.98,1,45.6872,D.N.,-8.0989,0.0286,2,B,6.596204,5.665945,6.987509,6.096577,7.292057,0,2.087442,1.889259,5,5,5,0,8,15,79.04,0,506,3.69,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1590,251.774768,-1.924194,251.774763,-1.924145,746,544,746.085,544.882,1,263.86,1,21.3039,D.N.,-6.0534,0.0877,2,B,5.728558,5.346838,5.686205,6.403861,5.875685,0,1.481558,1.391454,5,5,5,0,8,15,79.04,0,514,4.76,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1591,251.726745,-1.924194,251.726729,-1.924193,1612,544,1612.285,544.01,1,96.1108,1,20.0998,D.N.,-4.9569,0.2271,2,B,5.3353,5.127411,5.509608,4.724452,5.827961,0,1.901716,1.767896,5,5,5,0,8,15,79.04,0,504,0.97,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
1592,251.809371,-1.924138,251.809344,-1.92409,122,545,122.484,545.868,1,992.42,1,47.5111,D.N.,-7.4917,0.052,2,B,8.940088,8.288824,11.229507,7.778517,13.744384,0,7.933008,3.579049,5,5,5,0,8,15,79.04,0,498,19.03,0,/Volumes/IsaacPortableSSD/Programming/PHYS3313/M12_B.fits
